ООО ЛП Тс136384-25 03.07.2025 Бауков 7176кг.pdf
('SU000722кг', ['15,00', '166.972'], '160,447')
('SU002756кг', ['5,00', '22.714'], '21,454')
('SU002876кг', ['5,00', '22.955'], '21,695')
('SU002847кг', ['5,00', '22.893'], '21,633')
('SU002660шт', ['5,00', '11.180'], '30,000')
('SU002877шт', ['5,00', '11.180'], '30,000')
('SU003829шт', ['6,00', '11.616'], '36,000')
('SU002848шт', ['5,00', '11.180'], '30,000')
('SU002945кг', ['5,00', '28.784'], '27,524')
('SU002947кг', ['5,00', '28.882'], '27,532')
('SU002944шт', ['3,00', '5.808'], '18,000')
('SU002942шт', ['3,00', '5.808'], '18,000')
('SU002946шт', ['3,00', '5.808'], '18,000')
('SU002948шт', ['3,00', '5.826'], '18,000')
('SU002843кг', ['3,00', '26.146'], '24,625')
('SU002845кг', ['3,00', '25.847'], '24,326')
('SU002725кг', ['3,00', '26.791'], '25,270')
('SU002992шт', ['2,00', '4.092'], '12,000')
('SU002621шт', ['2,00', '5.292'], '12,000')
('SU002686шт', ['2,00', '5.280'], '12,000')
('SU003573шт', ['3,00', '6.240'], '18,000')
('SU003389кг', ['15,00', '167.770'], '161,470')
('SU003387кг', ['20,00', '224.821'], '216,121')
('SU003391кг', ['5,00', '56.400'], '54,250')
('SU002801шт', ['5,00', '13.200'], '30,000')
('SU002698шт', ['6,00', '10.896'], '36,000')
('SU003394кг', ['15,00', '167.362'], '160,837')
('SU003392кг', ['50,00', '564.750'], '543,000')
('SU003396кг', ['5,00', '56.030'], '53,855')
('SU003395шт', ['4,00', '16.840'], '40,000')
('SU003393шт', ['4,00', '16.840'], '40,000')
('SU001820кг', ['30,00', '133.980'], '126,534')
('SU001822кг', ['20,00', '91.690'], '86,770')
('SU001801кг', ['5,00', '22.896'], '21,636')
('SU002579шт', ['5,00', '11.180'], '30,000')
('SU002617шт', ['5,00', '11.180'], '30,000')
('SU001340кг', ['8,00', '68.674'], '64,570')
('SU001340кг', ['115,00', '1.007.715'], '948,930')
('SU001727кг', ['3,00', '26.292'], '24,771')
('SU001728кг', ['3,00', '24.992'], '23,471')
('SU003333шт', ['3,00', '9.756'], '18,000')
('SU001762шт', ['2,00', '5.892'], '12,000')
('SU001051кг', ['5,00', '45.657'], '43,122')
('SU000227кг', ['5,00', '41.330'], '38,795')
('SU001430кг', ['5,00', '43.645'], '41,110')
('SU001921кг', ['2,00', '6.187'], '5,723')
('SU001920кг', ['2,00', '6.458'], '5,962')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU001869шт', ['2,00', '5.620'], '30,000')
('SU002841шт', ['2,00', '4.400'], '40,000')
('SU002840шт', ['2,00', '4.400'], '40,000')
('SU002368шт', ['2,00', '4.400'], '40,000')
('SU001835кг', ['10,00', '85.527'], '80,337')
('SU003167шт', ['6,00', '14.004'], '36,000')
('SU003168шт', ['6,00', '13.968'], '36,000')
('SU003422кг', ['49,00', '756.086'], '732,566')
('SU000251кг', ['48,00', '742.514'], '719,474')
('SU002787шт', ['3,00', '12.630'], '30,000')
('SU003432шт', ['3,00', '15.630'], '30,000')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['48,00', '741.943'], '721,063')
('SU002027шт', ['3,00', '12.630'], '30,000')
('SU003161кг', ['3,00', '27.462'], '25,941')
('SU000246кг', ['3,00', '28.846'], '27,325')
('SU002074кг', ['3,00', '28.269'], '26,748')
('SU002472кг', ['2,00', '18.793'], '17,779')
('SU002614кг', ['5,00', '29.266'], '27,916')
('SU002615кг', ['5,00', '29.286'], '27,936')
('SU002613кг', ['5,00', '29.068'], '27,718')
('SU002538шт', ['5,00', '11.240'], '30,000')
