	Строка - 229; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Особый рецепт/Любимая ложка/Пельмени/P004081/","Пельмени Со свининой и говядиной Любимая ложка 1,0 Равиоли Особый рецепт"), в количестве 60
Перенос данных из Строка - 43; наименование - Пирожки с мясом 3,7кг ВЕС ТМ Зареченские  ПОКОМ ==> 
	Строка - 266; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Снеки/P004359/","«Пирожки с мясом» Весовые ТМ «Зареченские» 3,7 кг"), в количестве 14
Перенос данных из Строка - 44; наименование - Сочный мегачебурек ТМ Зареченские ВЕС ПОКОМ ==> 
	Строка - 258; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Чебуреки/P003495/","Чебуреки «Сочный мегачебурек» Весовой ТМ «Зареченские» 2,24 кг"), в количестве 14
Перенос данных из Строка - 45; наименование - Хот-догстер ТМ Горячая штучка ТС Хот-Догстер флоу-пак 0,09 кг. ПОКОМ ==> 
	Строка - 145; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Хот-Догстер/Снеки/P004630/","Снеки «Хот-догстер» Фикс.вес 0,09 ТМ «Горячая штучка»"), в количестве 14
Перенос данных из Строка - 46; наименование - Хотстеры с сыром 0,25кг ТМ Горячая штучка  ПОКОМ ==> 
	Строка - 128; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Хотстеры/Снеки/P005058/","Снеки «Хотстеры с сыром» Фикс.вес 0,25 ТМ «Горячая штучка»"), в количестве 14
Перенос данных из Строка - 47; наименование - Хотстеры ТМ Горячая штучка ТС Хотстеры 0,25 кг зам  ПОКОМ ==> 
	Строка - 129; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Хотстеры/Снеки/P004489/","Снеки «Хотстеры» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 84
Перенос данных из Строка - 49; наименование - Хрустящие крылышки ТМ Горячая штучка 0,3 кг зам  ПОКОМ ==> 
	Строка - 80; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Крылышки ГШ/Крылья/P004588/","Крылья «Хрустящие крылышки» Фикс.вес 0,3 Пакет ТМ «Горячая штучка»"), в количестве 14
Перенос данных из Строка - 51; наименование - Чебупицца курочка по-итальянски Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 122; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004484/","Снеки «Чебупицца курочка По-итальянски» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 98
Перенос данных из Строка - 53; наименование - Чебупицца Пепперони ТМ Горячая штучка ТС Чебупицца 0.25кг зам  ПОКОМ ==> 
	Строка - 123; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004486/","Снеки «Чебупицца Пепперони» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 224
Перенос данных из Строка - 56; наименование - Чебуреки сочные ВЕС ТМ Зареченские  ПОКОМ ==> 
	Строка - 257; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Чебуреки/P003476/","Чебуреки «Сочные» Весовые ТМ «Зареченские» 5 кг"), в количестве 276

Количество коробок с  продукцией из первого файла составляет: 3120 шт.
Количество коробок продукции из второго файла составляет: 3120 шт.
