ООО ЛП Тс004690-26 11.01.2026 Добрилко 3015кг.pdf Пушкарный +
('SU002617шт', ['5,00', '11.180'], '30,000')
('SU001340кг', ['65,00', '568.582'], '536,862')
('SU001340кг', ['62,00', '498.372'], '468,488')
('SU001727кг', ['3,00', '25.445'], '23,999')
('SU001728кг', ['3,00', '25.630'], '24,184')
('SU003333шт', ['2,00', '6.484'], '12,000')
('SU001051кг', ['2,00', '18.215'], '17,251')
('SU000227кг', ['3,00', '25.431'], '23,985')
('SU001430кг', ['5,00', '46.640'], '44,230')
('SU001921кг', ['1,00', '3.124'], '2,892')
('SU001920кг', ['1,00', '3.177'], '2,929')
('SU001869шт', ['1,00', '2.810'], '15,000')
('SU002841шт', ['1,00', '2.200'], '20,000')
('SU002840шт', ['1,00', '2.200'], '20,000')
('SU002368шт', ['1,00', '2.200'], '20,000')
('SU001835кг', ['5,00', '42.545'], '40,075')
('SU003167шт', ['5,00', '11.590'], '30,000')
('SU003168шт', ['5,00', '11.590'], '30,000')
('SU000251кг', ['48,00', '742.561'], '720,001')
('SU000126кг', ['49,00', '755.963'], '732,993')
('SU003161кг', ['4,00', '37.279'], '35,351')
('SU002074кг', ['1,00', '9.324'], '8,842')
('SU002614кг', ['4,00', '22.335'], '21,335')
('SU002615кг', ['4,00', '22.351'], '21,351')
('SU002613кг', ['4,00', '22.405'], '21,405')
('SU002538шт', ['3,00', '6.744'], '18,000')
('SU002602шт', ['5,00', '11.180'], '30,000')
('SU002606шт', ['5,00', '11.180'], '30,000')
('SU002603шт', ['5,00', '11.180'], '30,000')
('SU003500шт', ['3,00', '6.936'], '18,000')
('SU002612кг', ['5,00', '28.369'], '27,119')
('SU002545шт', ['3,00', '6.744'], '18,000')
('SU002604шт', ['3,00', '6.726'], '18,000')
('SU002094кг', ['2,00', '11.150'], '10,530')
('SU002182кг', ['2,00', '11.436'], '10,776')
('SU002010кг', ['2,00', '11.310'], '10,690')
('SU002035кг', ['3,00', '16.812'], '15,762')
('SU002150кг', ['2,00', '11.260'], '10,640')
('SU002158кг', ['2,00', '11.291'], '10,591')
('SU002151кг', ['2,00', '11.225'], '10,525')
('SU002809кг', ['7,00', '35.313'], '33,689')
('SU002655кг', ['5,00', '44.625'], '42,215')
('SU002970кг', ['1,00', '9.292'], '8,810')
('SU002971кг', ['1,00', '9.474'], '8,992')

